name;common_name;ra;dec
M1;Crab Nebula;05|34|31.9;+22|00|52.2
M2;;21|33|27.0;-00|49|23.7
M3;;13|42|11.6;+28|22|38.2
M4;Spider Globular Cluster;16|23|35.2;-26|31|32.7
M5;Rose Cluster;15|18|33.2;+02|04|51.7
M6;Butterfly Cluster;17|40.1;-32|13
M7;Ptolemy Cluster;17|53|51.2;-34|47|34
M8;Lagoon Nebula;18|03|37;-24|23|12
M9;;17|19|11.8;-18|30|58.5
M10;;16|57|8.9;-04|05|58.1
M11;Wild Duck Cluster;18|51.1;-06|16
M12;;16|47|14.2;-01|56|54.7
M13;Great Hercules Cluster;16|41|41.2;+36|27|35.5
M14;;17|37|36.2;-03|14|45.3
M15;Great Pegasus Cluster;21|29|58.3;+12|10|01.2
M16;Eagle Nebula;18|18|48;-13|49
M17;Omega Nebula;18|20|26;-16|10|36
M18;Black Swan Cluster;18|19.9;-17|08
M19;;17|02|37.7;-26|16|04.6
M20;Trifid Nebula;18|02|23;-23|01|48
M21;Webb's Cross Cluster;18|04.6;-22|30
M22;Great Sagittarius Cluster;18|36|23.9;-23|54|17.1
M23;;17|56.8;-19|01
M24;Small Sagittarius Star Cloud;18|17;-18|33
M25;;18|31.6;-19|15
M26;;18|45.2;-09|24
M27;Dumbbell Nebula;19|59|36.3;+22|43|16.1
M28;;18|24|32.9;-24|52|11.4
M29;Cooling Tower Cluster;20|23|56;+38|31|24
M30;Jellyfish Cluster;21|40|22.1;-23|10|47.5
M31;Andromeda Galaxy;00|42|44.3;+41|16|09
M32;Andromeda Satellite #1;00|42|41.8;+40|51|55
M33;Triangulum Galaxy;01|33|50.0;+30|39|36.7
M34;Spiral Cluster;02|42.1;+42|46
M35;Shoe-Buckle Cluster;06|09.1;+24|21
M36;Pinwheel Cluster;05|36|12;+34|08|04
M37;Salt and Pepper Cluster;05|52|18;+32|33|02
M38;Starfish Cluster;05|28|42;+35|51|18
M39;Pyramid Cluster;21|31|42;+48|26|00
M40;Winnecke 4;12|22|12.5;+58|04|59
M41;Little Beehive Cluster;06|46.0;-20|46
M42;Orion Nebula;05|35|17.3;-05|23|28
M43;De Mairan's Nebula;05|35.6;-05|16
M44;Beehive Cluster;08|40.4;+19|59
M45;Pleiades;03|47|24;+24|07|00
M46;;07|41.8;-14|49
M47;;07|36.6;-14|30
M48;;08|13.7;-05|45
M49;;12|29|46.7;+08|00|02
M50;Heart-Shaped Cluster;07|03.2;-08|20
M51;Whirlpool Galaxy;13|29|52.7;+47|11|43
M52;Scorpion Cluster;23|24.2;+61|35
M53;;13|12|55.3;+18|10|05.4
M54;;18|55|03.3;-30|28|47.5
M55;Specter Cluster;19|39|59.7;-30|57|53.1
M56;;19|16|35.6;+30|11|00.5
M57;Ring Nebula;18|53|35.1;+33|01|45.0
M58;;12|37|43.5;+11|49|05
M59;;12|42|02.3;+11|38|49
M60;;12|43|39.6;+11|33|09
M61;Swelling Spiral Galaxy;12|21|54.9;+04|28|25
M62;Flickering Globular;17|01|12.6;-30|06|44.5
M63;Sunflower Galaxy;13|15|49.3;+42|01|45
M64;Black Eye Galaxy;12|56|43.7;+21|40|58
M65;Leo Triplet;11|18|55.9;+13|05|32
M66;Leo Triplet;11|20|15.0;+12|59|30
M67;King Cobra;08|51.3;+11|49
M68;;12|39|28.0;-26|44|38.6
M69;;18|31|23.1;-32|20|53.1
M70;;18|43|12.8;-32|17|31.6
M71;Angelfish Cluster;19|53|46.5;+18|46|45.1
M72;;20|53|27.7;-12|32|14.3
M73;;20|58|54;-12|38
M74;;01|36|41.8;+15|47|01
M75;;20|06|04.8;-21|55|16.2
M76;Little Dumbbell Nebula;01|42.4;+51|34|31
M77;Cetus A;02|42|40.7;-00|00|48
M78;;05|46|46.7;+00|00|50
M79;;05|24|10.6;-24|31|27.3
M80;;16|17|02.4;-22|58|33.9
M81;Bode's Galaxy;09|55|33.2;+69|03|55
M82;Cigar Galaxy;09|55|52.2;+69|40|47
M83;Southern Pinwheel Galaxy;13|37|00.9;-29|51|57
M84;;12|25|03.7;+12|53|13
M85;;12|25|24.0;+18|11|28
M86;;12|26|11.7;+12|56|46
M87;Virgo A;12|30|49.4;+12|23|28.0
M88;;12|31|59.2;+14|25|14
M89;;12|35|39.8;+12|33|23
M90;Carabin Galaxy;12|36|49.8;+13|09|46
M91;;12|35|26.4;+14|29|47
M92;;17|17|07.4;+43|08|09.4
M93;Critter Cluster;07|44.6;-23|52
M94;Crocodile Eye;12|50|53.1;+41|07|14
M95;;10|43|57.7;+11|42|14
M96;;10|46|45.7;+11|49|12
M97;Owl Nebula;11|14|47.7;+55|01|08.5
M98;;12|13|48.3;+14|54|01.7
M99;St. Catherine's Wheel;12|18|49.6;+14|24|59
M100;Mirror Galaxy;12|22|54.9;+15|49|21
M101;Pinwheel Galaxy;14|03|12.6;+54|20|57
M102;Spindle Galaxy;15|06|29.5;+55|45|48
M103;;01|33.2;+60|42
M104;Sombrero Galaxy;12|39|59.4;-11|37|23
M105;;10|47|49.6;+12|34|54
M106;;12|18|57.5;+47|18|14
M107;Crucifix Cluster;16|32|31.9;-13|03|13.6
M108;Surfboard Galaxy;11|11|31.0;+55|40|27
M109;Vacuum Cleaner Galaxy;11|57|36.0;+53|22|28
M110;Andromeda Satellite #2;00|40|22.1;+41|41|07
